MD,SGRC,SEXP,SESP,SEMP,TVD,TVDSS,BS,R(D)/RT,PHID,RHOBHC,NPHIHC,PHIECPX,PHITCPX,Sw/SXO,New_feat,K,PAY,NET,KTIM,MRP,T2LM,T2_DIST,T2LM_L,T2LM_G
1274.2,44.99,1.72,9.31,15.46,4180.32,4098.3,12.25,22.36,0.31,2.18,0.23,0.25,0.27,0.72478,2.90478,162.76,1,1,1940.25,0.27,116.7025,0.000185875,116.7025,116.7025
1274.3,46.95,1.5,7.81,13.5,4180.65,4098.63,12.25,18.63,0.31,2.18,0.22,0.24,0.27,0.74083,2.92083,116.99,1,1,1967.96,0.27,,4.61E-05,126.43255,126.0575893
1274.4,50.82,1.35,6.74,12.12,4180.98,4098.96,12.25,16.29,0.31,2.18,0.22,0.22,0.26,0.75052,2.93052,76.21,1,1,1995.67,0.27,136.1626,2.96E-06,136.1626,136.1626
1274.5,48.7,1.29,6.71,12.52,4181.31,4099.28,12.25,17.43,0.31,2.18,0.22,0.23,0.26,0.74567,2.92567,96.73,1,1,2023.38,0.27,,6.90E-07,144.4157,144.1796822
1274.6,42.46,1.25,6.75,12.95,4181.63,4099.61,12.25,18.22,0.31,2.18,0.23,0.26,0.27,0.73965,2.91965,209.52,1,1,1992.66,0.27,152.6688,1.98E-06,152.6688,152.6688
1274.7,40.73,1.29,7.57,13.59,4181.96,4099.94,12.25,20.52,0.31,2.17,0.23,0.27,0.28,0.72911,2.89911,264.82,1,1,1950.7,0.27,,2.47E-05,128.44165,126.1360482
1274.8,40.44,1.26,7.75,13.91,4182.29,4100.27,12.25,20.62,0.32,2.16,0.24,0.28,0.29,0.72449,2.88449,325.82,1,1,1908.75,0.27,104.2145,4.18E-05,104.2145,104.2145
1274.9,41.08,1.18,7.7,13.78,4182.62,4100.6,12.25,19.74,0.32,2.16,0.24,0.28,0.29,0.72776,2.88776,307.22,1,1,1866.79,0.27,,1.84E-05,107.1472,107.1070574
1275,43.13,1.21,7.81,13.8,4182.95,4100.92,12.25,20.25,0.32,2.15,0.23,0.27,0.28,0.72724,2.87724,241.54,1,1,1836.51,0.27,110.0799,1.00E-08,110.0799,110.0799
1275.1,45.63,1.31,8.12,13.91,4183.27,4101.25,12.25,21.7,0.32,2.16,0.23,0.25,0.28,0.72384,2.88384,176.29,1,1,1838.31,0.27,,1.00E-08,120.74555,120.2735705
1275.2,50.27,1.37,8.52,14.1,4183.6,4101.58,12.25,22.09,0.32,2.16,0.22,0.23,0.27,0.72493,2.88493,95.15,1,1,1840.11,0.27,131.4112,2.29E-07,131.4112,131.4112
1275.3,53.09,1.41,8.94,14.09,4183.93,4101.91,12.25,22.26,0.32,2.16,0.22,0.22,0.27,0.72405,2.88405,69.1,1,1,1841.9,0.27,,9.37E-07,131.2202,131.220061
1275.4,51.88,1.48,9.44,14.11,4184.26,4102.24,12.25,23.33,0.32,2.16,0.22,0.22,0.27,0.72081,2.88081,79.42,1,1,1843.7,0.27,131.0292,0.000139597,131.0292,131.0292
1275.5,48.45,1.48,9.64,14.22,4184.59,4102.56,12.25,22.96,0.32,2.16,0.22,0.23,0.27,0.72229,2.88229,115.96,1,1,1993.83,0.27,93.82614,0.000479594,93.82614,93.82614
1275.6,48.08,1.45,9.65,13.69,4184.91,4102.89,12.25,21.18,0.32,2.16,0.22,0.24,0.27,0.72816,2.88816,120.66,1,1,2209.11,0.27,,0.000588453,94.75774,94.75316043
1275.7,46.01,1.48,9.73,13.95,4185.24,4103.22,12.25,21.46,0.32,2.15,0.22,0.25,0.28,0.72574,2.87574,161.06,1,1,2424.39,0.27,95.68934,0.000466738,95.68934,95.68934
1275.8,43.99,1.51,9.93,14.53,4185.57,4103.55,12.25,22.39,0.32,2.15,0.23,0.26,0.28,0.72002,2.87002,222.16,1,1,2639.67,0.27,,0.000515693,108.22842,107.4995924
1275.9,43.41,1.49,10.34,14.7,4185.9,4103.88,12.25,23.35,0.32,2.16,0.23,0.26,0.28,0.71849,2.87849,219.33,1,1,2869.84,0.27,120.7675,0.000680075,120.7675,120.7675
1276,43.19,1.53,10.14,14.27,4186.23,4104.21,12.25,22.89,0.31,2.18,0.24,0.26,0.28,0.72034,2.90034,219.83,1,1,3206.39,0.27,,0.000751965,113.80355,113.5902786
1276.1,50.33,1.58,9.4,13.76,4186.55,4104.53,12.25,22.43,0.3,2.19,0.24,0.23,0.27,0.72321,2.91321,97.46,1,1,3542.94,0.27,106.8396,0.000782509,106.8396,106.8396
1276.2,57.17,1.61,8.96,13.39,4186.88,4104.86,12.25,21.67,0.29,2.2,0.25,0.2,0.27,0.72382,2.92382,46.28,1,1,3879.49,0.27,,0.000463838,129.65395,127.6309217
1276.3,52.61,1.68,8.4,12.2,4187.21,4105.19,12.25,18.96,0.29,2.2,0.24,0.22,0.27,0.7368,2.9368,69.4,1,1,4216.04,0.27,152.4683,4.91E-05,152.4683,152.4683
1276.4,47.6,1.73,7.8,11.08,4187.54,4105.52,12.25,16.56,0.29,2.2,0.24,0.24,0.27,0.7473,2.9473,121.35,1,1,4122.24,0.27,,1.00E-08,152.4683,152.4683
1276.5,46.88,1.69,7.07,9.6,4187.87,4105.85,12.25,14.04,0.3,2.19,0.24,0.24,0.27,0.75812,2.94812,141.16,1,1,3677.47,0.27,152.4683,1.00E-08,152.4683,152.4683
1276.6,47.24,1.65,6.44,8.37,4188.19,4106.17,12.25,11.82,0.31,2.18,0.24,0.24,0.28,0.76961,2.94961,146.39,1,1,3232.7,0.27,,1.00E-08,152.4683,152.4683
